X,Y,id,left,top,right,bottom,row_index,col_index
295214.306578558,1610530.33248061,5928,295214.306578558,1610530.33248061,295264.306578558,1610580.33248061,583,8
295214.306578558,1610480.33248061,5929,295214.306578558,1610480.33248061,295264.306578558,1610530.33248061,584,8
295214.306578558,1610180.33248061,5935,295214.306578558,1610180.33248061,295264.306578558,1610230.33248061,590,8
295214.306578558,1610080.33248061,5937,295214.306578558,1610080.33248061,295264.306578558,1610130.33248061,592,8
295214.306578558,1609930.33248061,5940,295214.306578558,1609930.33248061,295264.306578558,1609980.33248061,595,8
295264.306578558,1611680.33248061,6573,295264.306578558,1611680.33248061,295314.306578558,1611730.33248061,560,9
295264.306578558,1611480.33248061,6577,295264.306578558,1611480.33248061,295314.306578558,1611530.33248061,564,9
295264.306578558,1610980.33248061,6587,295264.306578558,1610980.33248061,295314.306578558,1611030.33248061,574,9
295264.306578558,1610830.33248061,6590,295264.306578558,1610830.33248061,295314.306578558,1610880.33248061,577,9
295264.306578558,1610630.33248061,6594,295264.306578558,1610630.33248061,295314.306578558,1610680.33248061,581,9
295264.306578558,1610530.33248061,6596,295264.306578558,1610530.33248061,295314.306578558,1610580.33248061,583,9
295264.306578558,1610180.33248061,6603,295264.306578558,1610180.33248061,295314.306578558,1610230.33248061,590,9
295264.306578558,1610080.33248061,6605,295264.306578558,1610080.33248061,295314.306578558,1610130.33248061,592,9
295264.306578558,1609930.33248061,6608,295264.306578558,1609930.33248061,295314.306578558,1609980.33248061,595,9
295314.306578558,1611780.33248061,7239,295314.306578558,1611780.33248061,295364.306578558,1611830.33248061,558,10
295314.306578558,1610830.33248061,7258,295314.306578558,1610830.33248061,295364.306578558,1610880.33248061,577,10
295314.306578558,1610680.33248061,7261,295314.306578558,1610680.33248061,295364.306578558,1610730.33248061,580,10
295314.306578558,1610330.33248061,7268,295314.306578558,1610330.33248061,295364.306578558,1610380.33248061,587,10
295314.306578558,1610030.33248061,7274,295314.306578558,1610030.33248061,295364.306578558,1610080.33248061,593,10
295364.306578558,1611780.33248061,7907,295364.306578558,1611780.33248061,295414.306578558,1611830.33248061,558,11
295364.306578558,1611480.33248061,7913,295364.306578558,1611480.33248061,295414.306578558,1611530.33248061,564,11
295364.306578558,1610780.33248061,7927,295364.306578558,1610780.33248061,295414.306578558,1610830.33248061,578,11
295364.306578558,1610730.33248061,7928,295364.306578558,1610730.33248061,295414.306578558,1610780.33248061,579,11
295364.306578558,1610680.33248061,7929,295364.306578558,1610680.33248061,295414.306578558,1610730.33248061,580,11
295364.306578558,1610580.33248061,7931,295364.306578558,1610580.33248061,295414.306578558,1610630.33248061,582,11
295364.306578558,1610230.33248061,7938,295364.306578558,1610230.33248061,295414.306578558,1610280.33248061,589,11
295364.306578558,1610030.33248061,7942,295364.306578558,1610030.33248061,295414.306578558,1610080.33248061,593,11
295414.306578558,1611580.33248061,8579,295414.306578558,1611580.33248061,295464.306578558,1611630.33248061,562,12
295414.306578558,1610780.33248061,8595,295414.306578558,1610780.33248061,295464.306578558,1610830.33248061,578,12
295414.306578558,1610730.33248061,8596,295414.306578558,1610730.33248061,295464.306578558,1610780.33248061,579,12
295414.306578558,1610680.33248061,8597,295414.306578558,1610680.33248061,295464.306578558,1610730.33248061,580,12
295414.306578558,1610580.33248061,8599,295414.306578558,1610580.33248061,295464.306578558,1610630.33248061,582,12
295414.306578558,1610430.33248061,8602,295414.306578558,1610430.33248061,295464.306578558,1610480.33248061,585,12
295414.306578558,1610330.33248061,8604,295414.306578558,1610330.33248061,295464.306578558,1610380.33248061,587,12
295414.306578558,1610130.33248061,8608,295414.306578558,1610130.33248061,295464.306578558,1610180.33248061,591,12
295414.306578558,1610080.33248061,8609,295414.306578558,1610080.33248061,295464.306578558,1610130.33248061,592,12
295414.306578558,1610030.33248061,8610,295414.306578558,1610030.33248061,295464.306578558,1610080.33248061,593,12
295414.306578558,1609830.33248061,8614,295414.306578558,1609830.33248061,295464.306578558,1609880.33248061,597,12
295464.306578558,1611880.33248061,9241,295464.306578558,1611880.33248061,295514.306578558,1611930.33248061,556,13
295464.306578558,1610880.33248061,9261,295464.306578558,1610880.33248061,295514.306578558,1610930.33248061,576,13
295464.306578558,1610830.33248061,9262,295464.306578558,1610830.33248061,295514.306578558,1610880.33248061,577,13
295464.306578558,1610730.33248061,9264,295464.306578558,1610730.33248061,295514.306578558,1610780.33248061,579,13
295464.306578558,1610580.33248061,9267,295464.306578558,1610580.33248061,295514.306578558,1610630.33248061,582,13
295464.306578558,1610530.33248061,9268,295464.306578558,1610530.33248061,295514.306578558,1610580.33248061,583,13
295464.306578558,1610180.33248061,9275,295464.306578558,1610180.33248061,295514.306578558,1610230.33248061,590,13
295464.306578558,1610030.33248061,9278,295464.306578558,1610030.33248061,295514.306578558,1610080.33248061,593,13
295514.306578558,1611580.33248061,9915,295514.306578558,1611580.33248061,295564.306578558,1611630.33248061,562,14
295514.306578558,1611430.33248061,9918,295514.306578558,1611430.33248061,295564.306578558,1611480.33248061,565,14
295514.306578558,1610580.33248061,9935,295514.306578558,1610580.33248061,295564.306578558,1610630.33248061,582,14
295514.306578558,1610530.33248061,9936,295514.306578558,1610530.33248061,295564.306578558,1610580.33248061,583,14
295514.306578558,1610480.33248061,9937,295514.306578558,1610480.33248061,295564.306578558,1610530.33248061,584,14
295514.306578558,1610280.33248061,9941,295514.306578558,1610280.33248061,295564.306578558,1610330.33248061,588,14
295514.306578558,1610230.33248061,9942,295514.306578558,1610230.33248061,295564.306578558,1610280.33248061,589,14
295514.306578558,1609980.33248061,9947,295514.306578558,1609980.33248061,295564.306578558,1610030.33248061,594,14
295564.306578558,1616980.33248061,10475,295564.306578558,1616980.33248061,295614.306578558,1617030.33248061,454,15
295564.306578558,1616930.33248061,10476,295564.306578558,1616930.33248061,295614.306578558,1616980.33248061,455,15
295564.306578558,1616880.33248061,10477,295564.306578558,1616880.33248061,295614.306578558,1616930.33248061,456,15
295564.306578558,1611730.33248061,10580,295564.306578558,1611730.33248061,295614.306578558,1611780.33248061,559,15
295564.306578558,1611580.33248061,10583,295564.306578558,1611580.33248061,295614.306578558,1611630.33248061,562,15
295564.306578558,1610530.33248061,10604,295564.306578558,1610530.33248061,295614.306578558,1610580.33248061,583,15
295564.306578558,1609680.33248061,10621,295564.306578558,1609680.33248061,295614.306578558,1609730.33248061,600,15
295564.306578558,1606830.33248061,10678,295564.306578558,1606830.33248061,295614.306578558,1606880.33248061,657,15
295564.306578558,1606780.33248061,10679,295564.306578558,1606780.33248061,295614.306578558,1606830.33248061,658,15
295614.306578558,1617130.33248061,11140,295614.306578558,1617130.33248061,295664.306578558,1617180.33248061,451,16
