X,Y,id,left,top,right,bottom,row_index,col_index
295614.306578558,1616680.33248061,2903,295614.306578558,1616680.33248061,295714.306578558,1616780.33248061,230,8
295614.306578558,1616580.33248061,2904,295614.306578558,1616580.33248061,295714.306578558,1616680.33248061,231,8
295614.306578558,1610680.33248061,2963,295614.306578558,1610680.33248061,295714.306578558,1610780.33248061,290,8
295614.306578558,1609880.33248061,2971,295614.306578558,1609880.33248061,295714.306578558,1609980.33248061,298,8
295614.306578558,1609780.33248061,2972,295614.306578558,1609780.33248061,295714.306578558,1609880.33248061,299,8
295714.306578558,1616880.33248061,3235,295714.306578558,1616880.33248061,295814.306578558,1616980.33248061,228,9
295714.306578558,1616580.33248061,3238,295714.306578558,1616580.33248061,295814.306578558,1616680.33248061,231,9
295714.306578558,1616180.33248061,3242,295714.306578558,1616180.33248061,295814.306578558,1616280.33248061,235,9
295714.306578558,1614080.33248061,3263,295714.306578558,1614080.33248061,295814.306578558,1614180.33248061,256,9
295714.306578558,1613980.33248061,3264,295714.306578558,1613980.33248061,295814.306578558,1614080.33248061,257,9
295714.306578558,1613880.33248061,3265,295714.306578558,1613880.33248061,295814.306578558,1613980.33248061,258,9
295714.306578558,1613780.33248061,3266,295714.306578558,1613780.33248061,295814.306578558,1613880.33248061,259,9
295714.306578558,1610280.33248061,3301,295714.306578558,1610280.33248061,295814.306578558,1610380.33248061,294,9
295714.306578558,1607580.33248061,3328,295714.306578558,1607580.33248061,295814.306578558,1607680.33248061,321,9
295714.306578558,1607380.33248061,3330,295714.306578558,1607380.33248061,295814.306578558,1607480.33248061,323,9
295714.306578558,1607080.33248061,3333,295714.306578558,1607080.33248061,295814.306578558,1607180.33248061,326,9
295714.306578558,1606780.33248061,3336,295714.306578558,1606780.33248061,295814.306578558,1606880.33248061,329,9
295714.306578558,1606680.33248061,3337,295714.306578558,1606680.33248061,295814.306578558,1606780.33248061,330,9
295814.306578558,1616980.33248061,3568,295814.306578558,1616980.33248061,295914.306578558,1617080.33248061,227,10
295814.306578558,1611780.33248061,3620,295814.306578558,1611780.33248061,295914.306578558,1611880.33248061,279,10
295814.306578558,1611280.33248061,3625,295814.306578558,1611280.33248061,295914.306578558,1611380.33248061,284,10
295814.306578558,1610180.33248061,3636,295814.306578558,1610180.33248061,295914.306578558,1610280.33248061,295,10
295814.306578558,1607580.33248061,3662,295814.306578558,1607580.33248061,295914.306578558,1607680.33248061,321,10
295814.306578558,1607480.33248061,3663,295814.306578558,1607480.33248061,295914.306578558,1607580.33248061,322,10
295814.306578558,1606580.33248061,3672,295814.306578558,1606580.33248061,295914.306578558,1606680.33248061,331,10
295914.306578558,1617480.33248061,3897,295914.306578558,1617480.33248061,296014.306578558,1617580.33248061,222,11
295914.306578558,1617380.33248061,3898,295914.306578558,1617380.33248061,296014.306578558,1617480.33248061,223,11
295914.306578558,1610680.33248061,3965,295914.306578558,1610680.33248061,296014.306578558,1610780.33248061,290,11
295914.306578558,1610480.33248061,3967,295914.306578558,1610480.33248061,296014.306578558,1610580.33248061,292,11
295914.306578558,1610180.33248061,3970,295914.306578558,1610180.33248061,296014.306578558,1610280.33248061,295,11
295914.306578558,1609980.33248061,3972,295914.306578558,1609980.33248061,296014.306578558,1610080.33248061,297,11
295914.306578558,1609580.33248061,3976,295914.306578558,1609580.33248061,296014.306578558,1609680.33248061,301,11
295914.306578558,1607780.33248061,3994,295914.306578558,1607780.33248061,296014.306578558,1607880.33248061,319,11
295914.306578558,1607480.33248061,3997,295914.306578558,1607480.33248061,296014.306578558,1607580.33248061,322,11
295914.306578558,1607380.33248061,3998,295914.306578558,1607380.33248061,296014.306578558,1607480.33248061,323,11
295914.306578558,1607180.33248061,4000,295914.306578558,1607180.33248061,296014.306578558,1607280.33248061,325,11
295914.306578558,1607080.33248061,4001,295914.306578558,1607080.33248061,296014.306578558,1607180.33248061,326,11
295914.306578558,1606980.33248061,4002,295914.306578558,1606980.33248061,296014.306578558,1607080.33248061,327,11
295914.306578558,1606880.33248061,4003,295914.306578558,1606880.33248061,296014.306578558,1606980.33248061,328,11
296014.306578558,1617280.33248061,4233,296014.306578558,1617280.33248061,296114.306578558,1617380.33248061,224,12
296014.306578558,1610780.33248061,4298,296014.306578558,1610780.33248061,296114.306578558,1610880.33248061,289,12
296014.306578558,1610680.33248061,4299,296014.306578558,1610680.33248061,296114.306578558,1610780.33248061,290,12
296014.306578558,1610480.33248061,4301,296014.306578558,1610480.33248061,296114.306578558,1610580.33248061,292,12
296014.306578558,1609980.33248061,4306,296014.306578558,1609980.33248061,296114.306578558,1610080.33248061,297,12
296014.306578558,1609580.33248061,4310,296014.306578558,1609580.33248061,296114.306578558,1609680.33248061,301,12
296014.306578558,1608780.33248061,4318,296014.306578558,1608780.33248061,296114.306578558,1608880.33248061,309,12
296014.306578558,1608680.33248061,4319,296014.306578558,1608680.33248061,296114.306578558,1608780.33248061,310,12
296014.306578558,1608580.33248061,4320,296014.306578558,1608580.33248061,296114.306578558,1608680.33248061,311,12
296014.306578558,1607280.33248061,4333,296014.306578558,1607280.33248061,296114.306578558,1607380.33248061,324,12
296014.306578558,1606980.33248061,4336,296014.306578558,1606980.33248061,296114.306578558,1607080.33248061,327,12
296014.306578558,1606780.33248061,4338,296014.306578558,1606780.33248061,296114.306578558,1606880.33248061,329,12
296014.306578558,1606580.33248061,4340,296014.306578558,1606580.33248061,296114.306578558,1606680.33248061,331,12
296014.306578558,1606480.33248061,4341,296014.306578558,1606480.33248061,296114.306578558,1606580.33248061,332,12
296114.306578558,1633280.33248061,4407,296114.306578558,1633280.33248061,296214.306578558,1633380.33248061,64,13
296114.306578558,1618280.33248061,4557,296114.306578558,1618280.33248061,296214.306578558,1618380.33248061,214,13
296114.306578558,1616580.33248061,4574,296114.306578558,1616580.33248061,296214.306578558,1616680.33248061,231,13
296114.306578558,1616380.33248061,4576,296114.306578558,1616380.33248061,296214.306578558,1616480.33248061,233,13
296114.306578558,1610680.33248061,4633,296114.306578558,1610680.33248061,296214.306578558,1610780.33248061,290,13
296114.306578558,1610580.33248061,4634,296114.306578558,1610580.33248061,296214.306578558,1610680.33248061,291,13
296114.306578558,1610480.33248061,4635,296114.306578558,1610480.33248061,296214.306578558,1610580.33248061,292,13
296114.306578558,1608780.33248061,4652,296114.306578558,1608780.33248061,296214.306578558,1608880.33248061,309,13
296114.306578558,1608580.33248061,4654,296114.306578558,1608580.33248061,296214.306578558,1608680.33248061,311,13
296114.306578558,1607580.33248061,4664,296114.306578558,1607580.33248061,296214.306578558,1607680.33248061,321,13
296114.306578558,1607180.33248061,4668,296114.306578558,1607180.33248061,296214.306578558,1607280.33248061,325,13
296114.306578558,1607080.33248061,4669,296114.306578558,1607080.33248061,296214.306578558,1607180.33248061,326,13
296214.306578558,1618680.33248061,4887,296214.306578558,1618680.33248061,296314.306578558,1618780.33248061,210,14
296214.306578558,1616980.33248061,4904,296214.306578558,1616980.33248061,296314.306578558,1617080.33248061,227,14
296214.306578558,1611380.33248061,4960,296214.306578558,1611380.33248061,296314.306578558,1611480.33248061,283,14
296214.306578558,1609680.33248061,4977,296214.306578558,1609680.33248061,296314.306578558,1609780.33248061,300,14
296214.306578558,1608880.33248061,4985,296214.306578558,1608880.33248061,296314.306578558,1608980.33248061,308,14
296214.306578558,1608580.33248061,4988,296214.306578558,1608580.33248061,296314.306578558,1608680.33248061,311,14
296214.306578558,1606580.33248061,5008,296214.306578558,1606580.33248061,296314.306578558,1606680.33248061,331,14
296314.306578558,1618180.33248061,5226,296314.306578558,1618180.33248061,296414.306578558,1618280.33248061,215,15
296314.306578558,1617280.33248061,5235,296314.306578558,1617280.33248061,296414.306578558,1617380.33248061,224,15
296314.306578558,1614780.33248061,5260,296314.306578558,1614780.33248061,296414.306578558,1614880.33248061,249,15
296314.306578558,1613580.33248061,5272,296314.306578558,1613580.33248061,296414.306578558,1613680.33248061,261,15
296314.306578558,1613380.33248061,5274,296314.306578558,1613380.33248061,296414.306578558,1613480.33248061,263,15
296314.306578558,1612580.33248061,5282,296314.306578558,1612580.33248061,296414.306578558,1612680.33248061,271,15
296314.306578558,1611680.33248061,5291,296314.306578558,1611680.33248061,296414.306578558,1611780.33248061,280,15
