X,Y,id,left,top,right,bottom,row_index,col_index
277615.0,1624635.4414,3976,277615,1624635.4414,277815,1624835.4414,75,15
277615.0,1624235.4414,3978,277615,1624235.4414,277815,1624435.4414,77,15
277615.0,1624035.4414,3979,277615,1624035.4414,277815,1624235.4414,78,15
277615.0,1623235.4414,3983,277615,1623235.4414,277815,1623435.4414,82,15
277815.0,1630035.4414,4209,277815,1630035.4414,278015,1630235.4414,48,16
277815.0,1625635.4414,4231,277815,1625635.4414,278015,1625835.4414,70,16
277815.0,1625435.4414,4232,277815,1625435.4414,278015,1625635.4414,71,16
277815.0,1625235.4414,4233,277815,1625235.4414,278015,1625435.4414,72,16
277815.0,1623835.4414,4240,277815,1623835.4414,278015,1624035.4414,79,16
277815.0,1623635.4414,4241,277815,1623635.4414,278015,1623835.4414,80,16
277815.0,1623435.4414,4242,277815,1623435.4414,278015,1623635.4414,81,16
278015.0,1628035.4414,4479,278015,1628035.4414,278215,1628235.4414,58,17
278015.0,1625435.4414,4492,278015,1625435.4414,278215,1625635.4414,71,17
278015.0,1625235.4414,4493,278015,1625235.4414,278215,1625435.4414,72,17
278015.0,1625035.4414,4494,278015,1625035.4414,278215,1625235.4414,73,17
278015.0,1624235.4414,4498,278015,1624235.4414,278215,1624435.4414,77,17
278015.0,1623635.4414,4501,278015,1623635.4414,278215,1623835.4414,80,17
278215.0,1629835.4414,4730,278215,1629835.4414,278415,1630035.4414,49,18
278215.0,1629635.4414,4731,278215,1629635.4414,278415,1629835.4414,50,18
278215.0,1627835.4414,4740,278215,1627835.4414,278415,1628035.4414,59,18
278215.0,1627235.4414,4743,278215,1627235.4414,278415,1627435.4414,62,18
278215.0,1625235.4414,4753,278215,1625235.4414,278415,1625435.4414,72,18
278215.0,1625035.4414,4754,278215,1625035.4414,278415,1625235.4414,73,18
278215.0,1624835.4414,4755,278215,1624835.4414,278415,1625035.4414,74,18
278215.0,1624435.4414,4757,278215,1624435.4414,278415,1624635.4414,76,18
278215.0,1624235.4414,4758,278215,1624235.4414,278415,1624435.4414,77,18
278215.0,1623635.4414,4761,278215,1623635.4414,278415,1623835.4414,80,18
278215.0,1622835.4414,4765,278215,1622835.4414,278415,1623035.4414,84,18
278215.0,1622635.4414,4766,278215,1622635.4414,278415,1622835.4414,85,18
278215.0,1622435.4414,4767,278215,1622435.4414,278415,1622635.4414,86,18
278215.0,1622235.4414,4768,278215,1622235.4414,278415,1622435.4414,87,18
278415.0,1630035.4414,4989,278415,1630035.4414,278615,1630235.4414,48,19
278415.0,1629235.4414,4993,278415,1629235.4414,278615,1629435.4414,52,19
278415.0,1627835.4414,5000,278415,1627835.4414,278615,1628035.4414,59,19
278415.0,1627635.4414,5001,278415,1627635.4414,278615,1627835.4414,60,19
278415.0,1627435.4414,5002,278415,1627435.4414,278615,1627635.4414,61,19
278415.0,1627035.4414,5004,278415,1627035.4414,278615,1627235.4414,63,19
278415.0,1624835.4414,5015,278415,1624835.4414,278615,1625035.4414,74,19
278415.0,1624635.4414,5016,278415,1624635.4414,278615,1624835.4414,75,19
278415.0,1624435.4414,5017,278415,1624435.4414,278615,1624635.4414,76,19
278415.0,1624035.4414,5019,278415,1624035.4414,278615,1624235.4414,78,19
278415.0,1623835.4414,5020,278415,1623835.4414,278615,1624035.4414,79,19
278415.0,1623635.4414,5021,278415,1623635.4414,278615,1623835.4414,80,19
278415.0,1622435.4414,5027,278415,1622435.4414,278615,1622635.4414,86,19
278415.0,1622235.4414,5028,278415,1622235.4414,278615,1622435.4414,87,19
278615.0,1629035.4414,5254,278615,1629035.4414,278815,1629235.4414,53,20
278615.0,1623635.4414,5281,278615,1623635.4414,278815,1623835.4414,80,20
278615.0,1623235.4414,5283,278615,1623235.4414,278815,1623435.4414,82,20
278615.0,1622035.4414,5289,278615,1622035.4414,278815,1622235.4414,88,20
278815.0,1628035.4414,5519,278815,1628035.4414,279015,1628235.4414,58,21
